object_index,object_name,type,kind,samples,inside,near_occupied,coverage_inside,mean_distance_to_occupied_m,max_distance_to_occupied_m,occupied_samples,free_samples,unknown_samples,outside_samples
0,potted tree(5),PottedTree,obstacle,1,1,1,1.0,0.1,0.1,0,0,1,0
1,potted tree(8),PottedTree,obstacle,1,1,1,1.0,0.1,0.1,0,0,1,0
9,,PottedTree,obstacle,1,1,1,1.0,0.05,0.05,0,0,1,0
10,potted tree(3),PottedTree,obstacle,1,1,1,1.0,0.15000000000000002,0.15000000000000002,0,0,1,0
5,wall(10),Wall,wall,5,2,2,1.0,0.025,0.05,1,0,1,3
8,wall(1),Wall,wall,5,2,2,1.0,0.03535533905932738,0.07071067811865477,1,0,1,3
4,wall(7),Wall,wall,5,1,1,1.0,0.0,0.0,1,0,0,4
7,wall(2),Wall,wall,5,1,1,1.0,0.05,0.05,0,0,1,4
3,wall(5),Wall,wall,5,0,0,,,,0,0,0,5
6,wall(6),Wall,wall,5,0,0,,,,0,0,0,5
